run_id,window_size,scaler,loss_fn,epochs,batch_size,mae,mape,smape,mse,rmse,r2,nmae,nmse,nrmse,medae,max_error,explained_var
ws20_scalerRobustScaler_lossmse_bs32_ep200_gru,20,RobustScaler,mse,200,32,4.288773359905319,0.0272898759094425,2.789203624114577,32.6364085306026,5.712828417745679,0.8006426949505941,0.1028011556673612,0.7822890678121871,0.1369355091047673,2.978042018734186,13.111236629137238,0.8812252938474388
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_lstm_gru,20,RobustScaler,mse,200,32,7.936079025268555,0.0499069677216366,5.220031932286288,117.8422197372942,10.855515636638096,0.2801687316225937,0.1902264416423076,2.824657625570685,0.2602048322824275,4.435020446777344,24.617019653320312,0.6514584104853456
ws20_scalerRobustScaler_lossmse_bs32_ep200_lstm_gru,20,RobustScaler,mse,200,32,7.227218475860847,0.0454758369482988,4.733496757393545,98.40760434628982,9.920060702752268,0.3988837717713694,0.1732351768747701,2.358813255983843,0.2377821393098333,4.11573422969343,22.757771406647866,0.663226408746314
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_transformer,20,RobustScaler,mse,200,32,16.106800079345703,0.1021329445540194,11.081379657978276,417.3134150746491,20.42825041638782,-1.5491309104136293,0.3860772121323841,10.002930382433222,0.4896616292900314,11.415817260742188,40.38081359863281,-2.220446049250313e-16
ws20_scalerRobustScaler_lossmse_bs32_ep200_transformer,20,RobustScaler,mse,200,32,13.273849374951954,0.0855437086733002,9.134801338312096,274.69897141852647,16.574045113324825,-0.6779801794211102,0.3181718737242077,6.584486834035776,0.3972769947839789,10.733740837163538,27.950080914539853,0.2570394726054804
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_cnn_lstm,20,RobustScaler,mse,200,32,4.126805249382468,0.0263142521563717,2.681609386242098,28.77865469592336,5.364574046084494,0.8242075246194138,0.0989188080715032,0.6898193756170333,0.1285879120487711,2.7891387939453125,13.591598510742188,0.8891392901034452
ws20_scalerRobustScaler_lossmse_bs32_ep200_cnn_lstm,20,RobustScaler,mse,200,32,4.36406924946052,0.0281515966883731,2.860513340911855,33.7260146170911,5.807410319332629,0.7939869095027532,0.104605985117115,0.8084067372512832,0.1392026209272885,3.2534896011089245,15.454504734013426,0.8267869385812172
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_bi_lstm,20,RobustScaler,mse,200,32,3.657024607938879,0.023567917587791,2.399424276833758,22.15655350750175,4.707074835553579,0.8646581840554943,0.0876582473475341,0.5310887554634479,0.1128277696908527,2.9789962768554688,11.702239990234377,0.9321197043639255
ws20_scalerRobustScaler_lossmse_bs32_ep200_bi_lstm,20,RobustScaler,mse,200,32,3.018883926376649,0.0197044741459684,1.9983222325314745,14.8559632054273,3.854343420795207,0.909253348579393,0.0723621255808191,0.3560948686044435,0.0923879451642054,2.432239899439537,8.559124460785796,0.942523877229736
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_bilstm_attention,20,RobustScaler,mse,200,32,8.219993927899528,0.0516951764794038,5.423866357913567,132.3596573720749,11.504766723931214,0.1914899408672044,0.1970318327535541,3.1726380947967976,0.2757672685528992,4.147239685058594,26.8424072265625,0.549398313492133
ws20_scalerRobustScaler_lossmse_bs32_ep200_bilstm_attention,20,RobustScaler,mse,200,32,6.327362564180312,0.039986812312182624,4.146710101499506,79.89510506843082,8.93840618166521,0.5119661277022443,0.15166578630736832,1.9150718501434776,0.21425205022252672,4.179380852540476,22.785783180183444,0.6991686831607646
