date,avg_sentiment,price
2024-12-22,0.5,134.67825317382812
2024-12-23,0.75,139.64744567871094
2024-12-24,0.25,140.19737243652344
2024-12-25,-0.25,140.19737243652344
2024-12-26,0.625,139.90740966796875
2024-12-27,0.25,136.98788452148438
2024-12-28,0.125,136.98788452148438
2024-12-29,0.25,136.98788452148438
2024-12-30,0.25,137.46780395507812
2024-12-31,0.125,134.26832580566406
2025-01-01,0.25,134.26832580566406
2025-01-02,0.625,138.2876739501953
2025-01-03,0.375,144.44668579101562
2025-01-04,0.0,144.44668579101562
2025-01-05,0.0,144.44668579101562
2025-01-06,0.25,149.40586853027344
2025-01-07,0.125,140.11737060546875
2025-01-08,-0.375,140.08738708496094
2025-01-09,0.0,140.08738708496094
2025-01-10,0.25,135.88807678222656
2025-01-11,-0.125,135.88807678222656
